name,price,sold,rating,store,link,image,category,platform
SPIGEN Case for MacBook Air 13 inch M2 M3 M4 M5 2026 Thin Fit Slim Hard Cover Casing,929000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"Macbook Keyboard Cover Protector – Anti‑Dust Waterproof Silicone untuk MacBook Air / Pro - 13 / 14 /15 /16 "" inch - M1 / M2 / M3 / M4",39000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Hard-Shell Crystal Case - kompatibel for MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2026 / 2025 / 2024 / 2023 / 2022 / 2021 / 2020 / 2019 / 2018 / 2017 / 2016 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch",119000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
iLeader Kabel Charger Magsafe 3 untuk Macbook Air Pro M1 M2 M3 M Series Magnetic Cable 140W Fast Charging 200cm,238000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER - Filter Pelindung Layar Magnetik - Anti Blueray & Anti Spy / Privacy - kompatibel MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2026 / 2025 / 2024 / 2023 / 2022 / 2021 / 2020 / 2019 / 2018 / 2017 / 2016 – 13 / 14 / 15 / 16 inch,224510,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER Hard-Shell Candy Case Kompatible Untuk - MacBook Air / Pro - M1/M2/M3/M4/Max - 2016/2017/2018/2019/2020/2021/2022/2023/2024/2025 – 13/13.3/13.6/14/15/15.6/16 inch New,175000,21,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"MacBook Screen Protector – Anti‑Gores & Anti‑Fingerprint untuk Macbook Pro / Air - 13 / 14 / 15 / 16 "" inch - M1 / M2 / M3 / M4",49000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"Case For MacBook Air 15"" 2024/2023 M3/M2 Spigen Thin Fit Slim Hard Casing",649000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Case Macbook Air 13.6 M4 M3 M2 SwitchEasy Touch Casing Cover,599000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"Essential Armor MacBook Air 13"" 15"" (M4/M3/M2) (2023-2025) Case",999000,11,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"Case Compatible For MacBook Air 13"" / Air 15"" / Pro 13"" / Pro 14"" / Pro 16"" M5/M4/M3/M2/M1 Pro/Max WiWU iSHIELD Hard Shell Ultra Thin Casing",550000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Case Macbook Air 15 Inch M4 M3 M2 SwitchEasy Nude Hardcase Slim Casing Protection,549000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
IBOX APPLE MACBOOK AIR / NEO 13 M5/M4/M3/M2/M1 10C GPU 16GB/24GB 512GB/1TB 10C CPU,11513000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
MacBook Air M3 13 Inch /8GB-16GB-24GB/256GB-512GB SSD/MacOS,23010000,14,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
UGREEN Converter Kabel Thunderbolt 3 USB Type C To DP 1.4 HDR 8K@60Hz For iPhone 17 16 15 Pro Max Macbook iPad M2 M3 M4 Air Pro,219000,4,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
