name,price,sold,rating,store,link,image,category,platform
Brooklyn 20W iPhone Charger 14/13/12/11/X 2 Port + Lightning Cable Power Delivery Set,136000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Vention Adaptor Kepala Charger Kit Adaptor Type C 20W PD EU Android Iphone 8 10 11 12 13 15 - G16,65000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Case Compatible for iPhone 13 PRO MAX 13 PRO OTTERBOX SYMMTERY Ultra Thin Casing,558350,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
UGREEN Kabel Data Fast Charging for iPhone 14 13 12 11 Pro Max Plus Charger USB Type C to Lightning MFi Rubber Cable,174900,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
iPhone 13 PRO MAX 13 MINI ARAREE Flexield Anti Shock TPU Cover Protective Casing Cover,174300,3,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Case Compatible for iPhone 13 Pro Max 13 Pro RAZER ARCTECH PRO Thermaphene Casing,296670,7,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
CASELIFY case untuk iphone x xr xs max 7 8 11 12 13 14 15 16 pro max plus casing colouring cute puppy series mirror standing,67200,24,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Casing Ringke Compatible For iPhone 13 Pro Max Softcase Camera Tempered Glass Screen Protector Fusion X Onyx Mag Safe Slim Layar,124850,9,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
XUNDD Case Untuk Iphone 17 Pro Max 16 Pro Max 15 Pro 14 13 Pro 12 Pro Max 11 Pro Max X XS MAX XR Shockproof Slim Tembus Matte Transparan Casing Belakang / dengan Perlindungan Kamera / Anti Crack Case / Airbag Case,139800,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Youngkit Phone Case Magnetic IMD Compatible For Iphone 14 13 Pro Max Magsafe Pattern Design Shockproof Cover Casing,276750,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
COPPER Tempered Glass ANTI GLARE - MATTE - Kompatibel untuk iPhone 13 Mini,114900,1,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Gennext Case Silicone Protection For Iphone 13 13Pro 13Promax Promax Pro Max,99900,14,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
g-caSE TEMPERED GLASS ANTI BLUE LIGHT 99D For IPHONE 13 13MINI 13PRO PRO MAX MINI,17500,8,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
COPPER - Tempered Glass Full Glue Premium Glossy - Kompatibel untuk Untuk iPhone 13 / 14 / 15 / 16 / 17 / e / Air / Pro / Plus / Pro Max,99900,7,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
COPPER Tempered Glass Full Clear - Kompatibel Untuk iPhone 13 / 14 / 15 / 16 / 17 / e / Air / Pro / Plus / Pro Max,94900,6,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
